Model,Accuracy,Inference_Time,Exits,FLOPs_by_exit,Avg_FLOPs_per_sample,Energy_Consumed,GPU_Energy_Consumed,GPU_Model,Emissions
ResNet18_EE,90.0,36.929946422576904,"{1: 2779, 3: 333, 0: 5123, 2: 1107, 4: 658}","{0: 1880196372, 1: 2471471636, 2: 3063049236, 3: 3885990932, 4: 3654579220}",2359000930.1568,0.0009761014061928345,0.0003736389100220004,1 x NVIDIA L4,0.00045953194831168125
ResNet18,90.02,43.43466067314148,,,3654579220.0,0.0012859581004149123,0.0005543932212920006,1 x NVIDIA L4,0.0006054072123876337
ResNet34,89.79,65.32819199562073,,,7366499348.0,0.002014850057748279,0.0008941704375580008,1 x NVIDIA L4,0.0009485571547369081
ResNet34_EE,90.48,41.440152406692505,"{0: 5757, 1: 2619, 4: 630, 2: 840, 3: 154}","{0: 2346632468, 1: 3866765844, 2: 6312045588, 3: 7597911060, 4: 7366499348}",3474971405.0112,0.0012085284278262214,0.0005037692919040004,1 x NVIDIA L4,0.000568954638837312
ResNet50,89.18,76.46065998077393,,,9151388112.0,0.0023281228790170564,0.0010192044264739995,1 x NVIDIA L4,0.0010960406733522869
ResNet50_EE,90.04,52.50625443458557,"{3: 225, 1: 2606, 0: 4962, 2: 1477, 4: 730}","{0: 2307675028, 1: 4305522196, 2: 7445761556, 3: 9585368084, 4: 9148994580}",4250373801.2224,0.0015627165769177458,0.0006578569151739974,1 x NVIDIA L4,0.0007357003982310671
