Model,Accuracy,Inference_Time,Exits,FLOPs_by_exit,Avg_FLOPs_per_sample,Energy_Consumed,GPU_Energy_Consumed,GPU_Model,Emissions
ResNet18,90.02,111.63871574401855,,,3654579220.0,0.0009906712038431512,0.00040671393648199564,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.0003334341697623048
ResNet18_EE,90.0,35.71144509315491,"{1: 2780, 0: 5122, 2: 1107, 4: 658, 3: 333}","{0: 1880196372, 1: 2471471636, 2: 3063049236, 3: 3885990932, 4: 3654579220}",2359060057.6832,0.0017320042821681657,0.0002609568754319905,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.0005829476092664682
ResNet34,89.8,154.71405863761902,,,7366499348.0,0.0029322528177890533,0.0006346499521640014,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.000986920059894533
ResNet34_EE,90.48,115.22438931465149,"{1: 2619, 0: 5758, 2: 839, 4: 630, 3: 154}","{0: 2346632468, 1: 3866765844, 2: 6312045588, 3: 7597911060, 4: 7366499348}",3474574863.6992,0.0011915479740149694,0.0002766335546400059,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.0004010440678061144
ResNet50,89.19,195.85513520240784,,,9151388112.0,0.0029722389961207235,0.0008434153969539976,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.0010003783678803366
ResNet50_EE,90.04,87.62416577339172,"{1: 2604, 2: 1476, 4: 731, 0: 4963, 3: 226}","{0: 2307675028, 1: 4305522196, 2: 7445761556, 3: 9585368084, 4: 9148994580}",4250872324.3968,0.0011751673855184843,0.0004164469998240092,1 x NVIDIA GeForce RTX 4050 Laptop GPU,0.0003955307876134984
