Model,Accuracy,Inference_Time,Exits,FLOPs_by_exit,Avg_FLOPs_per_sample,Energy_Consumed,GPU_Energy_Consumed,GPU_Model,Emissions
ResNet18_EE,90.0,37.62730574607849,"{0: 5122, 4: 658, 3: 334, 1: 2779, 2: 1107}","{0: 1880196372, 1: 2471471636, 2: 3063049236, 3: 3885990932, 4: 3654579220}",2359201509.6128,0.0014392848338422482,0.0006000968689659977,1 x NVIDIA A100-SXM4-40GB,3.421494741324092e-06
ResNet18,90.03,44.945794343948364,,,3654579220.0,0.0017501820799859494,0.0007620444985239963,1 x NVIDIA A100-SXM4-40GB,0.0008239559701620252
ResNet34,89.81,68.4533052444458,,,7366499348.0,0.002702673879592645,0.0011894953960399982,1 x NVIDIA A100-SXM4-40GB,0.0012723729170562642
ResNet34_EE,90.48,43.86436152458191,"{0: 5758, 1: 2619, 2: 839, 4: 630, 3: 154}","{0: 2346632468, 1: 3866765844, 2: 6312045588, 3: 7597911060, 4: 7366499348}",3474574863.6992,0.0016834333771144703,0.0007183900191560025,1 x NVIDIA A100-SXM4-40GB,4.001889210345089e-06
ResNet50,89.18,79.39503121376038,,,9151388112.0,0.00314166211197268,0.0013824669393060068,1 x NVIDIA A100-SXM4-40GB,7.468417746358204e-06
ResNet50_EE,90.03,55.70842957496643,"{0: 4961, 1: 2609, 4: 730, 2: 1475, 3: 225}","{0: 2307675028, 1: 4305522196, 2: 7445761556, 3: 9585368084, 4: 9148994580}",4249945538.0672,0.002147502686833309,0.0009184960125740022,1 x NVIDIA A100-SXM4-40GB,0.0010110077574154456
